36
ANGSTROM
O    2.6359570  -3.1019111   2.3970696 1
H    2.9165755  -3.7097867   3.0811549 2
H    1.8520310  -2.6843390   2.7538968 2
O   -0.9814242  -2.3342568   0.7801535 1
H   -1.7323141  -2.8973553   0.5922273 2
H   -0.2265226  -2.8240995   0.4539485 2
O    3.3488439   1.2296320  -2.1784462 1
H    3.9523239   1.4751743  -2.8796972 2
H    3.8243109   1.4288649  -1.3719294 2
O    1.0831312   2.4602066  -1.1341598 1
H    0.5251412   1.7038059  -0.9532257 2
H    1.8038206   2.1074163  -1.6560580 2
O    1.2235413   0.6964384   2.1050980 1
H    1.5200314   1.6010287   2.0048882 2
H    0.7392454   0.5120727   1.3003007 2
O    2.4406861  -1.1284738  -1.0481992 1
H    2.9023035  -1.0005778  -0.2194749 2
H    2.7828527  -0.4428114  -1.6218029 2
O    3.4817443  -0.6543363   1.4188609 1
H    3.4068835  -1.5231993   1.8134556 2
H    2.7305944  -0.1697602   1.7611939 2
O    0.0907717  -0.0060604  -0.2652021 1
H   -0.4730241  -0.7274502   0.0140166 2
H    0.8646001  -0.4341674  -0.6314619 2
O    4.4260973   1.7018038   0.2444937 1
H    4.3508013   0.8813247   0.7317067 2
H    3.7999249   2.2899415   0.6666717 2
O    1.3203028  -3.4779314  -0.0249058 1
H    1.7574740  -2.8309191  -0.5785199 2
H    1.8528514  -3.5128994   0.7697018 2
O    2.2333668   3.1141039   1.2117804 1
H    2.1001585   4.0395362   1.4168723 2
H    1.7869240   2.9871413   0.3746416 2
O    0.4072122  -1.7765113   3.1251294 1
H    0.6033269  -0.8466440   3.0105962 2
H   -0.2198537  -1.9768910   2.4302421 2

