==============================================================================
    step     energy [au]  potential [au]  temp [K]  wall clock time           
------------------------------------------------------------------------------
       0   -192.59739123   -193.16435558    350.00  2025-10-26 Sun 20:08:45.537 
       1   -193.08340942   -195.87048625   1852.97  2025-10-26 Sun 20:08:47.200 
       2   -193.16644976   -196.90974126   1683.96  2025-10-26 Sun 20:08:48.886 
       3   -193.20501165   -197.60456885   1439.33  2025-10-26 Sun 20:08:50.620 
       4   -193.22690405   -198.12306133   1395.39  2025-10-26 Sun 20:08:52.426 
       5   -193.24104971   -198.52928797   1341.76  2025-10-26 Sun 20:08:54.148 
       6   -193.25061853   -198.85401535   1288.15  2025-10-26 Sun 20:08:55.797 
       7   -193.25733111   -199.11922651   1186.33  2025-10-26 Sun 20:08:57.472 
       8   -193.26234488   -199.33804030   1022.10  2025-10-26 Sun 20:08:59.030 
       9   -193.26604768   -199.52084449    926.66  2025-10-26 Sun 20:09:00.509 
      10   -193.26871298   -199.67634819    853.30  2025-10-26 Sun 20:09:01.931 
      11   -193.27066680   -199.81273536    809.57  2025-10-26 Sun 20:09:03.370 
      12   -193.27216236   -199.93569858    762.70  2025-10-26 Sun 20:09:04.832 
      13   -193.27333463   -200.04787963    730.76  2025-10-26 Sun 20:09:06.256 
      14   -193.27425489   -200.14992399    683.69  2025-10-26 Sun 20:09:07.696 
      15   -193.27498148   -200.24249643    650.75  2025-10-26 Sun 20:09:09.167 
      16   -193.27555655   -200.32730624    655.83  2025-10-26 Sun 20:09:10.604 
      17   -193.27599765   -200.40589593    677.93  2025-10-26 Sun 20:09:12.080 
      18   -193.27635144   -200.48044912    692.17  2025-10-26 Sun 20:09:13.541 
      19   -193.27665289   -200.55202563    673.82  2025-10-26 Sun 20:09:14.996 
      20   -193.27691949   -200.61922736    657.05  2025-10-26 Sun 20:09:16.401 
      21   -193.27715493   -200.68128795    627.41  2025-10-26 Sun 20:09:17.806 
      22   -193.27737884   -200.73882113    571.87  2025-10-26 Sun 20:09:19.144 
      23   -193.27759807   -200.79322149    526.28  2025-10-26 Sun 20:09:20.523 
      24   -193.27778252   -200.84525719    493.47  2025-10-26 Sun 20:09:21.917 
      25   -193.27793444   -200.89545447    484.72  2025-10-26 Sun 20:09:23.275 
      26   -193.27807582   -200.94386270    500.41  2025-10-26 Sun 20:09:24.643 
      27   -193.27820971   -200.99009708    483.63  2025-10-26 Sun 20:09:26.045 
      28   -193.27834358   -201.03382153    470.21  2025-10-26 Sun 20:09:27.410 
      29   -193.27847495   -201.07483233    481.42  2025-10-26 Sun 20:09:28.791 
      30   -193.27860122   -201.11308619    484.97  2025-10-26 Sun 20:09:30.152 
      31   -193.27871692   -201.14886218    459.77  2025-10-26 Sun 20:09:31.521 
      32   -193.27883648   -201.18250629    449.03  2025-10-26 Sun 20:09:32.894 
      33   -193.27894600   -201.21313459    477.52  2025-10-26 Sun 20:09:34.284 
      34   -193.27899794   -201.23946644    481.99  2025-10-26 Sun 20:09:35.631 
      35   -193.27901041   -201.26285763    426.84  2025-10-26 Sun 20:09:37.011 
      36   -193.27908777   -201.28635012    402.03  2025-10-26 Sun 20:09:38.386 
      37   -193.27923795   -201.31073477    411.94  2025-10-26 Sun 20:09:39.775 
      38   -193.27938436   -201.33496896    435.97  2025-10-26 Sun 20:09:41.130 
      39   -193.27946289   -201.35794609    425.75  2025-10-26 Sun 20:09:42.507 
      40   -193.27948370   -201.37957874    418.30  2025-10-26 Sun 20:09:43.909 
      41   -193.27947212   -201.40039659    443.79  2025-10-26 Sun 20:09:45.275 
      42   -193.27943312   -201.42018393    398.46  2025-10-26 Sun 20:09:46.663 
      43   -193.27940194   -201.43967522    349.78  2025-10-26 Sun 20:09:48.054 
      44   -193.27944407   -201.46024347    380.84  2025-10-26 Sun 20:09:49.410 
      45   -193.27952277   -201.48165633    408.83  2025-10-26 Sun 20:09:50.768 
      46   -193.27961727   -201.50310308    409.48  2025-10-26 Sun 20:09:52.149 
      47   -193.27971583   -201.52338970    374.18  2025-10-26 Sun 20:09:53.442 
      48   -193.27977379   -201.54161509    374.09  2025-10-26 Sun 20:09:54.733 
      49   -193.27979268   -201.55806169    406.26  2025-10-26 Sun 20:09:56.047 
      50   -193.27981492   -201.57369850    437.47  2025-10-26 Sun 20:09:57.324 
